,Countries,1A_Government_consumption,data.1,1C__Government_investment,data.3,1Dii_Top_marginal_income_and_payroll_tax_rate,2H_Police_and_crime,data.6,3D__Foreign_currency_bank_accounts,data.8,4Dii__Capital_controls,4Diii_Freedom_of_foreigners_to_visit,5Bv_Cost_of_worker_dismissal,5Bvi__Conscription,World_Bank_Region,Income_Classification
10,10,1.9000143152793192,-0.717992931438326,-0.301272474051069,-0.3951312919005518,1.365135282596379,-0.7329228874763225,-0.9296844002459893,-1.4512245224744518,0.9920814368290775,-1.5731022238811418,-1.3302761225819901,-1.5114534196071723,0.798025372746645,5,2
11,11,0.9273495765530262,0.7348752727958712,1.2438132029064923,-0.09638721679188199,-0.9504025711096714,0.22909461174870144,-0.8753365418694362,-0.9425489978394734,0.7353135713980355,-1.5731022238811418,-1.3302761225819901,-0.5874849731062094,0.798025372746645,2,0
12,12,-0.4998634596012263,1.0519468593945076,1.2438132029064923,-1.2276524464219374,-0.14545078671814346,0.9771829452445723,-0.12150214955808364,0.8149978025038181,0.4461104782621828,-0.6396949676605671,-1.3302761225819901,0.17757153657172878,-1.3244994475547485,1,3
13,13,-1.3973536958332775,2.0690310503519216,1.2438132029064923,-0.06360619626688613,-2.2639678978065167,0.998511547124988,-1.3833272644466665,0.8149978025038181,0.33233625733378636,0.27102580538485016,-1.3302761225819901,1.4114312417283852,0.798025372746645,1,0
14,14,-0.1401747336150589,-0.11308038853777669,-1.462380045887334,-0.3951312919005518,-0.14545078671814346,-1.0747393885036003,0.31364771633541316,-1.4512245224744518,1.0026022485019765,-1.5731022238811418,-1.3302761225819901,-0.30718934165707246,0.798025372746645,2,2
15,15,1.062243451662601,-1.3491642784313336,1.2438132029064923,0.798188400638515,-1.374895236996995,0.28570048876801923,-0.37329231724333134,-1.4512245224744518,1.5461238926111682,-1.0434430651940934,-1.3302761225819901,0.09434768101095886,-1.3244994475547485,6,2
16,16,-0.6272502610764599,-0.9508595478713124,-1.3762543535024507,0.21735358158563592,0.9968714854774462,1.599005215506528,0.1004198537598441,-1.4512245224744518,-0.2951200067314216,-1.5731022238811418,-1.3302761225819901,1.4114312417283852,0.798025372746645,5,2
17,17,-0.2546625215052785,-0.3875911912558045,-1.5829431566791297,-1.2276524464219374,1.7281972681867568,-0.5226439306910824,0.3923400008586353,0.8149978025038181,-0.34769009497427716,0.5223472296247396,-1.3302761225819901,1.4114312417283852,-1.1166241727790656,2,2
18,18,-0.20470503236681448,1.1547652193309537,0.9589402092651604,-1.424457857887666,-0.9504025711096714,0.35352381540916394,-0.30544262311508874,-0.9425489978394734,-2.333035900483775,-0.0015450169804883168,-1.3302761225819901,0.06728110270021559,0.798025372746645,1,3
19,19,-1.962014672652977,-0.01908497602767366,-0.18326959492015593,-0.3951312919005518,1.365135282596379,0.08740615377385219,-0.12985206541541333,0.8149978025038181,1.7616180418966172,0.7561200382781295,-1.3302761225819901,-1.0766555718159136,0.798025372746645,6,3
20,20,-0.43833351103743035,1.1310243858232034,1.2438132029064923,-0.17238530668748855,-1.374895236996995,-0.7993275258788223,0.3889303851443268,0.8149978025038181,0.1638939810657125,-0.3008702472437976,-1.3302761225819901,-0.09000378021766423,-1.1166241727790656,2,3
21,21,-1.962014672652977,-0.033493662509636105,1.2438132029064923,-2.051220957273081,1.7281972681867568,1.2850600789601567,1.395121881828139,0.8149978025038181,-0.04875363529313682,0.9751740003119088,-1.3302761225819901,1.4114312417283852,0.798025372746645,0,0
22,22,-0.5174542073905849,1.3011286928334769,0.5799950210098719,-1.424457857887666,0.6228261153214845,-0.1073731612030961,-0.4368353106521874,0.8149978025038181,0.33233625733378636,0.5223472296247396,0.9735673942077201,0.9520267817758914,0.798025372746645,1,3
23,23,-0.1877214620887843,-1.0679504499418713,-0.5120990254293435,-0.3951312919005518,-0.542027886426338,-0.5516080453926401,0.3894611405054357,-1.4512245224744518,0.9004011994132751,-1.0434430651940934,-1.3302761225819901,0.26382543680564646,0.798025372746645,6,1
24,24,-1.0231881456296092,-1.82840166387723,0.5621779581876907,-0.01939988588185434,-0.14545078671814346,-0.4915725015470365,1.056961503680193,0.8149978025038181,1.7238448028436357,-0.6396949676605671,-1.3302761225819901,0.17757153657172878,0.798025372746645,6,1
